Work,Date
Permission for using FN or GS classroom ,2018-11-13 00:00:00
Permission to issue a Mason for project work,2018-11-13 00:00:00
Request for open classroom SEW-7 17-11-2018,2018-11-15 00:00:00
"Replacement of broken rack glass, sink, and mirror in Strength lab AMD",2018-11-16 00:00:00
P.G. Lab white wash work and repair of false ceiling,2018-11-26 00:00:00
Request for open class romm GS-4 01-12-2018,2018-11-27 00:00:00
Request of 20 nos chairs for Survey Camp-2018,2018-11-27 00:00:00
Request for open classroom 01-12-2018,2018-11-27 00:00:00
Request for door closer not working proper in Examination Cell,2018-10-03 00:00:00
Application for providing gym fixture,2018-10-03 00:00:00
Some treatment work against mosquito like pesticides/ insecticides /repellents around Boys & Girls Gym.,2018-10-04 00:00:00
"Repair of Basket ball, Tanis court for sudent",2018-10-05 00:00:00
"Road cleaing, Carpenter, Mason, Plumber and Welder work for 52nd Annual Athletic Meet 26-28 Oct 2018Road cleaing, Carpenter, Mason, Plumber and Welder work for 52nd Annual Athletic Meet 26-28 Oct 2018Road cleaing, Carpenter, Mason, Plumber and Welder work",2018-10-08 00:00:00
Request for termite treatment in CAD lab faculty cabin. ,2018-10-11 00:00:00
Report on boundary wall all around main playground.,2018-10-23 00:00:00
Repair of road barrier. ,2018-10-24 00:00:00
Water cooler leakage Problem,2018-10-30 00:00:00
"Floor tile, door change, Fall ceiling and aluminum partitioning/window paneling of the room for laboratory purpose. ",2018-12-03 00:00:00
Request for class open for NCC classes at 08-12-2018 & 09-12-2018,2018-12-06 00:00:00
Painting work in FEW-13 office walls,2018-12-08 00:00:00
Basin replaced in Material science lab department of AMD,2018-12-13 00:00:00
Aluminum partition in chambers ,2018-12-17 00:00:00
Mason work in SVBH Hostel,2018-11-05 00:00:00
White wash work in staff qtr No. A-12,2018-10-03 00:00:00
Regarding repairing work in              C-54,2018-10-03 00:00:00
Request for White washing in International House-A-307,2018-10-05 00:00:00
Request for White washing/ painting work in B-22,2018-10-09 00:00:00
Roof repair work qtr no. C-44,2018-10-10 00:00:00
Request regarding maintenance work in qtr  A-14,2018-10-17 00:00:00
Request for Civil and electrical maintenance of C-62,2018-10-23 00:00:00
Request regarding repair of house G-76.,2018-10-25 00:00:00
Request for Civil & Electrical work in Qtr. No. G-23 ,2018-10-26 00:00:00
Request for Civil & Electrical work in Qtr. No. G-54 ,2018-10-26 00:00:00
Request for repair at qtr No. G-36,2018-10-29 00:00:00
Whitewash and painting work of the House No.             IH-205,2018-10-29 00:00:00
Maintenance work in IH-302,2018-10-30 00:00:00
Qtr No. G-54 Civil & Electrical work  required ,2018-10-31 00:00:00
Maintenance work required in Qtr No. G-36,2018-10-31 00:00:00
Request for Civil & Electrical work in Qtr. No. G-23 ,2018-10-31 00:00:00
